/var/spool/sge/node167/job_scripts/36378 - Theta X range: -22 to 22; Theta Y range:  -22 to 22
explicitDataBinaryFileN.bin: L:50 R:52 U:53 D:54 Z+:58 Z-:57
Fri Nov  6 17:02:45 GMT 2015
Cols: weights file, axis, target angles (x/y/z), peakposn1, peakposn2, bestweight, meanpeakposn1, meanpeakposn2, eyeposAvg(SD) (x/y/z).
57,3,-11.000000/7.000000/0.000000,22,35,0.195065,21.754697,33.505275,-10.857675(0.154681)/6.974098(0.116341)/0.090569(0.010210)
54,1,-11.000000/6.000000/0.000000,23,34,0.898923,22.164784,33.048626,-11.000612(0.087613)/6.059335(0.051872)/0.000547(0.007521)
50,2,-11.000000/6.000000/0.000000,23,34,0.363380,22.164784,33.048626,-11.000612(0.087613)/6.059335(0.051872)/0.000547(0.007521)
57,3,-11.000000/6.000000/0.000000,23,34,0.198095,22.164784,33.048626,-11.000612(0.087613)/6.059335(0.051872)/0.000547(0.007521)
54,1,-11.000000/0.000000/0.000000,26,33,1.092993,25.434903,31.604982,-10.950700(0.119142)/0.045874(0.001907)/-0.078892(0.008207)
52,2,-11.000000/0.000000/0.000000,26,33,0.163921,25.434903,31.604982,-10.950700(0.119142)/0.045874(0.001907)/-0.078892(0.008207)
57,3,-11.000000/0.000000/0.000000,26,33,0.227888,25.434903,31.604982,-10.950700(0.119142)/0.045874(0.001907)/-0.078892(0.008207)
54,1,-11.000000/11.000000/0.000000,21,37,1.041505,20.480880,35.380770,-10.815788(0.194372)/10.964975(0.202707)/0.150959(0.030095)
50,2,-11.000000/11.000000/0.000000,21,37,0.814982,20.480880,35.380770,-10.815788(0.194372)/10.964975(0.202707)/0.150959(0.030095)
57,3,-11.000000/11.000000/0.000000,21,37,0.217574,20.480880,35.380770,-10.815788(0.194372)/10.964975(0.202707)/0.150959(0.030095)
54,1,-11.000000/-5.000000/0.000000,29,34,1.097514,27.995755,32.937595,-11.365975(0.921194)/-5.170225(0.404035)/0.002175(0.034558)
52,2,-11.000000/-5.000000/0.000000,29,34,0.616568,27.995755,32.937595,-11.365975(0.921194)/-5.170225(0.404035)/0.002175(0.034558)
57,3,-11.000000/-5.000000/0.000000,29,34,0.189770,27.995755,32.937595,-11.365975(0.921194)/-5.170225(0.404035)/0.002175(0.034558)
54,1,-11.000000/8.000000/0.000000,22,36,0.936703,21.262630,34.012657,-10.964850(0.129623)/7.968696(0.111093)/0.129540(0.005947)
50,2,-11.000000/8.000000/0.000000,22,36,0.517303,21.262630,34.012657,-10.964850(0.129623)/7.968696(0.111093)/0.129540(0.005947)
57,3,-11.000000/8.000000/0.000000,22,36,0.197280,21.262630,34.012657,-10.964850(0.129623)/7.968696(0.111093)/0.129540(0.005947)
